date,voucher_number,voucher_type,guid,master_id,alter_id,stock_item,quantity,unit,rate,amount,source_godown,destination_godown,batch_name,movement_type,source_system,source_index
20260401,1,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044a9,17577,30797,16  Bm  82,5.5,ltr,,429.0,Main Store,Main Store,Primary Batch,OUT,Sales,1
20260401,10,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b6,17590,35844,01  DAHI CUP 200,81.0,NO. =  2.89 CRT,,1458.0,Main Store,Main Store,Primary Batch,IN,Sales,2
20260401,10,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b6,17590,35844,05 TAK 500ml Pouch,30.0,NO.,,390.0,Main Store,Main Store,Primary Batch,IN,Sales,3
20260401,10,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b6,17590,35844,10   Lassi  @10,100.0,NO.,,800.0,Main Store,Main Store,Primary Batch,IN,Sales,4
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,43 Loose  Tak,52.3,KG,,1255.2,Main Store,Main Store,Primary Batch,IN,Sales,5
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,05 TAK 500ml Pouch,50.0,NO.,,900.0,Main Store,Main Store,Primary Batch,IN,Sales,6
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,05 TAK 500ml Pouch,9.0,NO.,,162.0,Main Store,Main Store,Primary Batch,OUT,Sales,7
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,02 MAlai Dahi Tray,82.0,KG =  8.20 TRAY,,9840.0,Main Store,Main Store,Primary Batch,IN,Sales,8
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,02 MAlai Dahi Tray,13.8,KG = -1.38 TRAY,,1656.0,Main Store,Main Store,Primary Batch,OUT,Sales,9
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,03 Mattha Dahi,50.3,KG,,2816.8,Main Store,Main Store,Primary Batch,IN,Sales,10
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,03 Mattha Dahi,6.0,KG,,336.0,Main Store,Main Store,Primary Batch,OUT,Sales,11
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,XX PL,23.7,KG,,8532.0,Main Store,Main Store,Primary Batch,IN,Sales,12
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,XX PL,1.7,KG,,612.0,Main Store,Main Store,Primary Batch,OUT,Sales,13
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,XX PL,1.0,KG,,360.0,Main Store,Main Store,Primary Batch,IN,Sales,14
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,06 CM GHEE LOOSE,35.2,KG,,26752.0,Main Store,Main Store,Primary Batch,IN,Sales,15
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,06 CM GHEE LOOSE,10.5,KG,,7980.0,Main Store,Main Store,Primary Batch,OUT,Sales,16
20260401,2,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004421,17441,30124,GREENPEASE Loose,3.0,KG,,480.0,Main Store,Main Store,Primary Batch,IN,Sales,17
20260401,3,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443e,17470,35786,XX PL,2.0,KG,,600.0,Main Store,Main Store,Primary Batch,IN,Sales,18
20260401,3,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443e,17470,35786,05 TAK 500ml Pouch,50.0,NO.,,650.0,Main Store,Main Store,Primary Batch,IN,Sales,19
20260401,3,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443e,17470,35786,11  Lassi @20,40.0,NO.,,640.0,Main Store,Main Store,Primary Batch,IN,Sales,20
20260401,4,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443f,17471,30906,05 TAK 500ml Pouch,50.0,NO.,,900.0,Main Store,Main Store,Primary Batch,IN,Sales,21
20260401,4,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443f,17471,30906,08  CHAKKA,14.0,KG,,3920.0,Main Store,Main Store,Primary Batch,IN,Sales,22
20260401,5,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000446f,17519,30615,01  DAHI CUP 200,8.0,NO. = -0.29 CRT,,144.0,Main Store,Main Store,Primary Batch,OUT,Sales,23
20260401,5,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000446f,17519,30615,10   Lassi  @10,1.0,NO.,,8.0,Main Store,Main Store,Primary Batch,OUT,Sales,24
20260401,6,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,01  DAHI CUP 200,81.0,NO. = -2.89 CRT,,1458.0,Main Store,Main Store,Primary Batch,OUT,Sales,25
20260401,6,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,05 TAK 500ml Pouch,11.0,NO.,,143.0,Main Store,Main Store,Primary Batch,OUT,Sales,26
20260401,6,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,10   Lassi  @10,30.0,NO.,,240.0,Main Store,Main Store,Primary Batch,OUT,Sales,27
20260401,6,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,11  Lassi @20,40.0,NO.,,640.0,Main Store,Main Store,Primary Batch,OUT,Sales,28
20260401,7,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,01  DAHI CUP 200,243.0,NO. =  8.68 CRT,,4374.0,Main Store,Main Store,Primary Batch,IN,Sales,29
20260401,7,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,01  DAHI CUP 200,162.0,NO. =  5.79 CRT,,2592.0,Main Store,Main Store,Primary Batch,IN,Sales,30
20260401,7,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,05 TAK 500ml Pouch,100.0,NO.,,1150.0,Main Store,Main Store,Primary Batch,IN,Sales,31
20260401,7,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,XX PL,2.0,KG,,600.0,Main Store,Main Store,Primary Batch,IN,Sales,32
20260401,7,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,05 TAK 500ml Pouch,50.0,NO.,,650.0,Main Store,Main Store,Primary Batch,IN,Sales,33
